Obs;Active Alarms;Name;Type;Subtype;Intersection;Area;Last Update;Operation mode;Active plan;Info
attention;Lamp error;42.06;EC-2 Nordic;;Strandboulevarden/Svendborggade;AG42;Sep 2, 2025 12:58:50 PM;ON / Control;PL05/Calendar;
attention;Lamp error;42.07;EC-2 Nordic;;Strandboulevard/Vordingborggade;AG42;Sep 2, 2025 1:01:56 PM;ON / Control;PL07/Calendar;EC1+
attention;Lamp error;42.08;EC-2 Nordic;;Strandboulevard/Ã…rhusgade;AG42;Sep 2, 2025 1:00:31 PM;ON / Control;PL03/Calendar;
healthy;;42.09 ;EC-2 Nordic;;Strandboulevard/Nordre Frihavnsgade;AG42;Sep 2, 2025 12:46:38 PM;ON / Control;PL03/Calendar;EC1+
healthy;;42.11;RSMP;;Strandboulevarden/Classensgade;AG42;Sep 2, 2025 12:59:10 PM;ON / Control;PL06/Unknown;ITC-3
healthy;;42.12 ;RSMP;;Strandboulevarden/Kristianiagade;AG42;Sep 2, 2025 1:00:34 PM;ON / Control;PL01/Unknown;ITC-3/N
attention;Lamp error;43.01 P;RSMP;;KlÃ¸vermarksvej - Raffinaderivej ;AG43;Sep 2, 2025 1:00:29 PM;ON / Control;PL01/Unknown;ITC-3/N
attention;Configuration error;50.01;EC-2 Nordic;;Ã˜restad Boulevard/Arne Jacobsens AllÃ©;AG50;Sep 2, 2025 1:01:32 PM;ON / Control;PL04/Calendar;
attention;Detector error;50.02;EC-2 Nordic;;Arne Jacobsens AllÃ©/Ove Arups Vej/Edvard Thomsens Vej;AG50;Sep 2, 2025 1:02:37 PM;ON / Control;PL05/Forced;
attention;Lamp error;50.03;EC-2 Nordic;;Center Boulevard/Arne Jacobsens AllÃ©;AG50;Sep 2, 2025 1:02:36 PM;ON / Control;PL03/Calendar;
attention;Detector error;50.04;EC-2 Nordic;;Ove Arups Vej/Fields Parkering;AG50;Sep 2, 2025 1:02:36 PM;ON / Control;PL01/Calendar;
attention;Lamp error;50.05;EC-2 Nordic;;Ã˜restad Boulevard/Hannemanns AllÃ©;AG50;Sep 2, 2025 12:59:50 PM;ON / Control;PL03/Calendar;
attention;Lamp error;50.06;EC-2 Nordic;;Ã˜restads Boulevard/Asger Jorns AllÃ©;AG50;Sep 2, 2025 12:58:04 PM;ON / Control;PL04/Calendar;
attention;Lamp error;50.07;EC-2 Nordic;;Ã˜restads Boulevard/C.F. MÃ¸llers AllÃ©;AG50;Sep 2, 2025 1:03:38 PM;ON / Control;PL03/Calendar;
attention;Detector error;50.08;EC-2 Nordic;;Ove Arups Vej/Ã˜resundsmotorvejen;AG50;Sep 2, 2025 1:04:05 PM;ON / Control;PL05/Calendar;
attention;Lamp error;50.09;EC-2 Nordic;;Hannemanns AllÃ©/Ove Arups Vej;50;Sep 2, 2025 12:47:14 PM;ON / Control;PL03/Calendar;EC-2 C-prio
attention;;50.10;EC-2 Nordic;;Center Boulevard /C.F. MÃ¶llers Alle;AG50;Sep 2, 2025 12:53:57 PM;ON / Control;PL05/Calendar;
informational;;50.11;EC-2 Nordic;;Ã˜restads Boulevard/Ejler Billes Alle;AG50;Sep 2, 2025 1:02:36 PM;ON / Control;PL04/Calendar;
attention;;50.12;EC-2 Nordic;;Asger Jorns AllÃ©/Robert Jacobsens Vej;AG50;Sep 2, 2025 1:06:15 PM;ON / Control;PL06/Calendar;
attention;Lamp error;50.13;EC-2 Nordic;;Ejler Billes Alle / Robert Jacobsens Vej;AG50;Sep 2, 2025 1:04:41 PM;ON / Control;PL06/Calendar;
attention;Lamp error;50.14;EC-2 Nordic;;Ejler Billes AllÃ©/Else Alfelts Vej;AG50;Sep 2, 2025 1:04:06 PM;ON / Control;PL02/Calendar;
healthy;;50.15;RSMP;;Otto Baches AllÃ© â€“ Kanalvej ;AG50;Sep 2, 2025 1:02:18 PM;ON / Control;PL04/Unknown;ITC-3/N
attention;;50.16;EC-2 Nordic;;Ã˜restads Boulevard/Martha Christensens Vej;AG50;Sep 2, 2025 1:05:45 PM;ON / Control;PL05/Calendar;
