Top 1000 values of siteName,Top 100 values of sensorName,Top 3 values of scalarUnit,"average(scalarValue) * 3.6
"
KK-3002-RD-SMI-01  - Gl. Køge Landevej / Torveporten AG 30.02,KK+RG3002=001DL005 - S0202 - Average speed,m/s,36.03
KK-3007-RD-VIS-01 - Vigerslevvej 283 - Radar,KK+RG3007=001DL000 - S0202 - Average speed,m/s,40.052
KK-3007-RD-VIS-02 - Vigerslevvej 274 - Radar,KK+RG3007.1=001DL000 - S0202 - Average speed,m/s,37.844
KK-3009-RD-SMI-01 - Ellebjergvej / Valbyhallen AG 30.09,KK+RG3009=001DL001 - S0202 - Average speed,m/s,40.327
KK-3009-RD-SMI-01 - Ellebjergvej / Valbyhallen AG 30.09,KK+RG3009=001DL002 - S0202 - Average speed,m/s,31.961
KK-3013-RD-VIS-01 - Vigerslevvej 327 - Radar,KK+RG3013=001DL000 - S0202 - Average speed,m/s,42.216
KK-3013-RD-VIS-02 - Vigerslevvej 319 - Radar,KK+RG3013.1=001DL000 - S0202 - Average speed,m/s,40.345
KK-3107-RD-VIS-01 - P. Knudsens Gade 41 - Radar,KK+RG3107=001DL000 - S0202 - Average speed,m/s,43.977
KK-3108-RD-VIS-01 - P. Knudsens Gade / Wiinbladsgade - Radar,KK+RG3108=001DL000 - S0202 - Average speed,m/s,43.011
KK-3109-RD-VIS-01 - Enghavevej 168 - midt - nord - Radar,KK+RG3109=001DL000 - S0202 - Average speed,m/s,46.463
KK-3109-RD-VIS-02 - Enghavevej 168 - højre - nord - Radar,KK+RG3109.1=001DL000 - S0202 - Average speed,m/s,43.216
KK-3111-RD-VIS-01 - Teglholmsgade 44 - Radar,KK+RG3111=001DL000 - S0202 - Average speed,m/s,33.012
KK-3111-RD-VIS-02 - Støberigade 29 - Radar,KK+RG3111.1=001DL000 - S0202 - Average speed,m/s,31.452
KK-3304-CO-VIS-01 - Ørestads Blvd. ved DR Byen St. - Counting Station,KK+CO3304=001DL001 - S0202 - Average speed,m/s,19.678
KK-3304-RD-SMI-01 - Ørestads boulevard / Njalsgade AG 33.04,KK+RG3304=001DL001 - S0202 - Average speed,m/s,7.16
KK-3304-RD-SMI-01 - Ørestads boulevard / Njalsgade AG 33.04,KK+RG3304=001DL002 - S0202 - Average speed,m/s,34.747
KK-3410-RD-VIS-01 - Backersvej 32A - hastigheds- og tælleradar,KK+RG3410=001DL000 - S0202 - Average speed,m/s,38.143
KK-3411-RD-VIS-01 - Engvej 78 - Hastigheds- og tælleradar,KK+RG3411=001DL000 - S0202 - Average speed,m/s,41.394
KK-3411-RD-VIS-03 - Backersvej 129 - hastigheds- og tælleradar,KK+RG3411.2=001DL000 - S0202 - Average speed,m/s,38.615
KK-3411.1-RD-VIS-02 - Engvej 75 - Hastigheds- og tælleradar,KK+RG3411.1=001DL000 - S0202 - Average speed,m/s,38.305
KK-3505-RD-VIS-01 - Englandsvej 61 - Radar,KK+RG3505=001DL000 - S0202 - Average speed,m/s,44.264
KK-3505-RD-VIS-02 - Englandsvej / Azaleagangen - Radar,KK+RG3505.1=001DL000 - S0202 - Average speed,m/s,43.789
KK-3508-CO-VIS-01 - Ørestads Blvd. langs Metro - Counting Station,KK+CO3508=001DL001 - S0202 - Average speed,m/s,20.311
KK-3508-RD-SMI-01 - Røde Mellemvej / Remisevej AG 35.08,KK+RG3508=001DL001 - S0202 - Average speed,m/s,29.063
KK-3508-RD-SMI-01 - Røde Mellemvej / Remisevej AG 35.08,KK+RG3508=001DL002 - S0202 - Average speed,m/s,33.286
KK-3508-RD-VIS-02 - Røde Mellemvej 75 - Radar,KK+RG3508.1=001DL000 - S0202 - Average speed,m/s,43.861
KK-3508-RD-VIS-03 - Røde Mellemvej 28 - Radar,KK+RG3508.2=001DL000 - S0202 - Average speed,m/s,41.777
KK-3509-RD-VIS-01 - Peder Lykkes Vej /Tingvej - Radar,KK+RG3509=001DL000 - S0202 - Average speed,m/s,39.722
KK-3509-RD-VIS-02 - Peder Lykkes Vej 85 - Radar,KK+RG3509.1=001DL000 - S0202 - Average speed,m/s,40.931
KK-4002-RD-VIS-01 - Vejlands Allé 129 - midt - øst - Radar,KK+RG4002=001DL000 - S0202 - Average speed,m/s,47.851
KK-4002-RD-VIS-02 - Vejlands Allé 129 - højre - øst - Radar,KK+RG4002.1=001DL000 - S0202 - Average speed,m/s,47.303
KK-4003-RD-SMI-01 - Ørestads Blvd / Vejlands Alle AG 40.03,KK+RG4003=001DL001 - S0202 - Average speed,m/s,36.511
KK-4007-VM-VIS-02 - Dæmningsvej/ Imia Allé (indadgående) - Counting station,KK+CO4007.1=001DL001 - S0202 - Average speed,m/s,25.94
KK-4103-CO-VIS-01 - Vermlandsgade indadgående - Counting station,KK+CO4103=001DL001 - S0202 - Average speed,m/s,15.422
KK-4122-RD-VIS-01 - Prags Boulevard nord v. Raffinaderivej  - Radar,KK+RG4122=001DL000 - S0202 - Average speed,m/s,35.056
KK-4122-RD-VIS-02 - Prags Boulevard 67 v. Uplandsgade  - Radar,KK+RG4122.1=001DL000 - S0202 - Average speed,m/s,38.528
KK-4212-RD-VIS-01 - Kristianiagade 19 - Radar,KK+RG4212=001DL000 - S0202 - Average speed,m/s,35.27
KK-5005-CO-VIS-01 - Ørestads Blvd. / Hannemanns Allé (indadgående) - Counting Station,KK+CO5005=001DL001 - S0202 - Average speed,m/s,20.371
KK-5005-CO-VIS-02 - Ørestads Blvd. / Hannemanns Allé (udadgående) - Counting Station,KK+CO5005.1=001DL001 - S0202 - Average speed,m/s,17.541
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
